|HallowQuests||||
CradleDuchessD6|Совершенно верно, Исповедник. Ты не должен... суетиться из-за меня. Мной суетились... достаточно для... десяти жизней.||||
CradleDuchessD7|Я знала, что это случится рано или поздно. Несомненно, я... заслуживаю этого, после всего, что я сделала. Возможно, это даже будет... интересным изменением темпа, не так ли?||||
CradleDuchessD8|Просто... найди [[Велу]], и этого [[Ангела]] ее. ##Теперь ((иди)), Исповедник! ||||
CradleDuchessD9|<<На мгновение ты сбит с толку, обнаружив ((третью)) руку — пока не понимаешь, что она, должно быть, привела свою дочь с собой.>>||||
CradleDuchessD10|Хм? Что... это сейчас? Что ты делаешь? Я... сказала, нет времени суетиться! ||||
CradleDuchessD11|<<Две руки касаются друг друга и дрожат от удивления. Затем, после мгновенной паузы, их пальцы переплетаются.>> ||||
CradleDuchessD12|<<Никогда раньше ты не слышал голос Герцогини, наполненный таким чувством.>> ##О. ((О.)) Моя... дорогая. Моя крошка. Я... я с тобой. Я с тобой.||||
CradleDuchessDP1|Герцогиня? Ты... слышишь меня?||||
CradleDuchessDP2|Мне жаль, Герцогиня...||||
CradleDuchessDP3|Мы можем тебя починить?||||
CradleDuchessDP4|Я вызову помощь...||||
CradleDuchessDP5|Мне жаль, но нет времени. ||||
CradleDuchessDP6|<<[Обыскать части тела Герцогини в поисках чего-нибудь полезного.]>>||||
CradleDuchessDP7|Прощай, Герцогиня. Удачи.||||
CradleDuchessDP8|<<[Положить руку ее дочери рядом с одной из ее рук.]>>||||
Angel1|<<Когда ты приближаешься к Ангелу, давление нарастает внутри твоего черепа, пока не начинает казаться, что твоя голова расколется пополам. Твое тело дрожит от тошнотворной энергии; каким-то образом ты знаешь, что Ангел ((внутри)) тебя.>>||||
Angel2|<<Игла боли пронзает твой разум. Воспоминания о твоем детстве, о людях и местах, которые ты знал, мелькают перед глазами; вырванные волей этого существа. Оно пытается ((понять)) тебя?>>||||
Angel3|<<Больше боли — но на этот раз воспоминания не твои. Ощущение безграничных возможностей, непостижимой свободы и бесконечного ((времени)) охватывает тебя.>>||||
Angel4|<<На долю мгновения ты понимаешь, что значит быть ((бесконечным)) — выйти за пределы этой реальности. Ты понимаешь, что Ангел пытается... ((поделиться)) своим опытом с тобой, хотя многое теряется в переводе.>>||||
Angel5|<<Смешение ощущений проносится через твой разум. Эмберианское судно вторгается в твою жизненную сущность, каким-то образом цепляясь за тебя; ((тянет)) тебя через слои реальности, пока ты не становишься маленьким, таким маленьким, и запертым в этой клетке.>>||||
Angel5a|<<Ты понимаешь, что Ангел сильно ограничен в этом мире. Пределы времени и пространства, ((правила)), присущие такому жесткому существованию, удерживают Ангела в этой телесной форме.>>||||
Angel6|<<То, что ты знаешь о Мировом Разломе — обрывки истории, слухи и всепроникающий культурный страх — всплывает на поверхность твоего разума.>>||||
Angel7|<<Нотка замешательства проносится через тебя. Ангел, кажется, не уверен. Но ты понимаешь, что, когда его привели сюда, другой попытался слиться с ним — ((безуспешно)).>>||||
Angel8|<<В тот момент простой крик боли от любого из них мог бы уничтожить этот мир; как человек может случайно раздавить колонию насекомых.>> ||||
Angel9|<<Твое тело бурлит от... ((бессилия)) и нетерпения. Да, ты понимаешь; Ангел ничего не может сделать сам. Не в этой реальности, не в этом ((теле)): он заперт здесь.>>||||
Angel10|<<Он должен слиться с другим — разумным существом с ((этого)) материального плана — если он хочет иметь какую-то власть здесь.>>||||
Angel11|<<Это займет лишь мгновение, и Ангел сможет отделиться снова, оторвавшись от своей новой формы и вернувшись в Пустоту. ##Или он может остаться и соткать новую реальность внутри этой.>>||||
Angel12|<<Ты видишь труп, опущенный в могилу — затем младенца, вылезающего из ((другой стороны)) земли, покрытого кровью и плацентой. Слияние будет смертью и новым рождением.>> ||||
Angel13|<<Затем ты видишь, как вино наливают в странный, змеевидный сосуд. Когда стекло разбивается, вино остается, сохраняя форму. Слияние также изменит Ангела, наделив его всеми твоими причудами и ценностями.||||
Angel14|<<Цветы расцветают и увядают одновременно. Облака кипят и исчезают, набухают и лопаются. Моль машет крыльями, и башни падают; она машет снова, и башни всегда стояли гордо. Неопределенность: Ангел не может точно сказать, что станет с твоим миром.>>||||
Angel15|<<Чувство ответственности охватывает тебя. Ты думаешь, что это означает... что ((ты)) должен быть осторожен. Если ты сольешься, вы станете одним; и сила, которой ты будешь обладать, будет ужасающей.>>||||
Angel16|<<Ты чувствуешь тоску по чему-то вроде дома; по просторам бесконечной Пустоты. Но волна тревоги накрывает тебя: от этого решения не будет возврата.>>||||
Angel17|<<Все жалость и отчаяние, смятение и кровь; циклическая жестокость и благочестивое воровство. Все это будет продолжаться, наряду с любой радостью, которую люди Небесных Земель смогут вырвать из кривой ветви простого существования. Это твоя воля?>> ||||
Angel18|<<Твое тело охватывает теплое покалывание, которое вскоре становится разрывающей, мучительной болью. Твое зрение искажается, затем, кажется, сливается с другими чувствами; как будто твое сознание растворяется в воде.>>||||
Angel19|<<Ангел заимствует твою смертную сущность, чтобы покинуть эту реальность. Твоя последняя связная мысль — отчаянная надежда, что ты сделал правильный выбор.>> ||||
Angel20|<<Успокаивающее ощущение охватывает тебя. Ангел терпеливо ждет.>>||||
Angel21|<<Ты чувствуешь возможность; волнение перед неизвестным и начало нового. Но волна ужаса накрывает тебя: от этого решения не будет возврата.>>||||
Angel22|<<Даже если человечество выживет, узнаем ли мы себя? И почему ты должен быть тем, кто выбирает за них? Ты настолько справедлив, настолько праведен, что должен установить шаблон их существования? Ты готов претендовать на эту власть?>> ||||
Angel23|<<Твое тело охватывает теплое покалывание, которое вскоре становится разрывающей, мучительной болью. Твое зрение искажается, затем, кажется, сливается с другими чувствами; как будто твое сознание растворяется в воде.>>||||
Angel24|<<Ты сливаешься с Ангелом, так что двое становятся одним. Твоя последняя связная мысль — отчаянная надежда, что ты сделал правильный выбор.>> ||||
Angel25|<<Успокаивающее ощущение охватывает тебя. Ангел терпеливо ждет.>>||||
Angel26|<<Тепло омывает тебя. Ангел ждет твоего вопроса.>> ||||
Angel27|<<Ощущение спокойствия. Ангел, кажется, не чувствует срочности. Если бы только то же самое можно было сказать о тебе.>>||||
Angel28|<<Покалывание предвкушения наполняет твое тело. Ангел ждет твоего решения.>>||||
AngelP1|Убирайся из моей ((головы!))||||
AngelP2|((Стисни зубы.))||||
AngelP3|Что ((ты)) такое?||||
AngelP4|Почему ты здесь?||||
AngelP5|Ты вызвал Мировой Разлом, не так ли? ||||
AngelP6|Я хочу, чтобы ты ушел.||||
AngelP7|Я хочу использовать твою силу. ||||
AngelP7a|Так... что теперь будет?||||
AngelP7b|Позволь мне спросить о чем-то еще.||||
AngelP8|Если мы сольемся... что случится с ((мной))?||||
AngelP9|Может ли это вызвать еще один Мировой Разлом?||||
AngelP10|Я хочу изгнать тебя обратно в Пустоту. ||||
AngelP11|Я хочу слиться с тобой и создать свой собственный Рай. ||||
AngelP12a|Мне нужно узнать больше, прежде чем я смогу выбрать.||||
AngelP12b|Мне все еще нужно узнать больше, прежде чем я смогу выбрать.||||
AngelP12c|Вообще-то, подожди. У меня еще есть вопросы.||||
AngelP13|Мне нужно подумать над этим. ||||
AngelP13b|Вообще-то, мне нужно подумать над этим. ||||
AngelP14|Да, ты должен вернуться в Пустоту. ||||
AngelP15a|Нет, дай мне подумать об этом.||||
AngelP15b|Нет, подожди, дай мне обдумать это.||||
AngelP16|Да, я создам свой собственный Рай.||||
AngelP17|Думаю, я готов выбрать.||||
underCharmHologram1|Сеть шифров разорвана: Критический сбой памяти: Уровни энергии опасно низки. ||||
underCharmHologram2|ДОПОЛНИТЕЛЬНО: Обнаружены множественные органические аномалии: Искажение реальности в процессе. ##Дополнительная информация ограничена для граждан класса C и выше.||||
underCharmHologram3|@@Оглянись, машина. Все мертвы. Хочешь ((классного)) человека? Я лучший, что у тебя есть. ||||
underCharmHologram4|%%АНАЛИЗ: Утверждение говорящего верно. Население резко сократилось. Ситуация критическая.||||
underCharmHologram5|ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ ЗАПРОШЕНА. ||||
underCharmHologram6|Сокращение населения города Альбертус: Оценка 99.99%. ##Грибной рост в пределах города: Критическое насыщение.##ОБНАРУЖЕНА АНОМАЛИЯ: Анализ. ||||
underCharmHologram7|Некоторые грибы содержат человеческий генетический материал: Обнаружены следы шифровального канала: Реальность искажается поблизости.||||
underCharmHologram8|ВЫВОД: Говорящий должен обратить особое внимание на окружение вокруг гуманоидных грибов. Не все так, как кажется. ##Прекращение связи. ||||
underCharmHologram9|&&АНАЛИЗ: Говорящий не является гражданином: Оценка класса Z (Иностранец; Иммигрант; И т.д.). ##Немедленное прекращение связи. ||||
underCharmHologram10|Это бессмысленно.||||
cradleCharm1|Сеть КОЛЫБЕЛИ нарушена: Протоколы безопасности перезаписаны: Контроль над механическими гуманоидами утерян. ||||
cradleCharm2|ДОПОЛНИТЕЛЬНО: Контейнер для Основного Образца (КОД: АНГЕЛ) скомпрометирован: Сущность пытается реплицироваться. Доступ к КОЛЫБЕЛИ-УТРОБЕ закрыт до устранения угрозы. ##Дополнительная информация ограничена для граждан класса A и выше.||||
cradleCharm3|@@Все твои ((граждане)) мертвы уже сотни лет. Если хочешь остановить это порождение Ангела, я твой единственный шанс.||||
cradleCharm4|((Уходи)). ||||
cradleCharm5|%%АНАЛИЗ: Количество граждан класса A: Ноль. #Количество граждан класса B: Ноль. #Количество граждан класса C: Ноль. ||||
cradleCharm6|АНАЛИЗ: Уровень угрозы критический. Без сдерживания: Репликация Основного Образца вызовет Событие Катастрофы Уровня 0: Уничтожение Реальности.||||
cradleCharm7|ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ ЗАПРОШЕНА. ||||
cradleCharm8|Основной Образец (КОД: АНГЕЛ) пытается реплицироваться: Полученный Подобразец (КОД: ПОРОЖДЕНИЕ АНГЕЛА) находится в Камере Реле Энергии. ||||
cradleCharm9|Подобразец (КОД: ПОРОЖДЕНИЕ АНГЕЛА) способен искажать реальность: Обозначен как УГРОЗА КЛАССА A: Использование силы не рекомендуется.||||
cradleCharm10|ВЫВОД: Перегрузка Камеры Реле Энергии может привести к уничтожению Подобразца без ненужного конфликта: Говорящий должен искать ЧЕТЫРЕ (4) терминала переопределения: требуется высокий технический навык. ##Прекращение связи.||||
cradleCharm11|&&АНАЛИЗ: Говорящий не является гражданином: Оценка класса Z (Иностранец; Иммигрант; И т.д.). ##Немедленное прекращение связи. ||||
cradleCharm12|@@Тебе нужно сбросить протоколы безопасности, если хочешь восстановить контроль над ситуацией.||||
cradleCharm13|%%АНАЛИЗ: Оценка говорящего верна. Сброс протоколов безопасности. Установка говорящего (КОД: ГОВОРЯЩИЙ_467e) на статус: НЕ-УГРОЗА. ||||
cradleCharm14|ВЫВОД: механические гуманоиды теперь будут атаковать все УГРОЗЫ на виду, включая тех, кто обозначен КОДОМ: ВЕЛА_КРУТА. ##Прекращение связи.||||
cradleCharm15|Сеть КОЛЫБЕЛИ стабильна. Протоколы безопасности функционируют правильно.||||
cradleCharm16|ДОПОЛНИТЕЛЬНО: Контейнер для Основного Образца (КОД: Ангел) безопасен. ||||
cradleCharm17|Расскажи еще раз, как победить это так называемое ((Порождение Ангела.))||||
VelaCradleAngry1|<<Вела стоит над безжизненным телом своего бывшего друга Орлайт, ее меч все еще окровавлен, а лицо искажено яростью.>> ##((Ты!))||||
VelaCradleAngry2|Ты должен быть ((мертв)). Я вонзила меч в твое сердце, я видела, как твое тело падает. Потребовался бы ((бог)), чтобы остановить тебя от||||
VelaCradleAngry3|<<Ее глаза сужаются.>> О, теперь я понимаю, Исповедник. Ты действительно ((следовал)) по моим стопам, не так ли? ||||
p101|Ты... ((убил)) Орлайт?||||
VelaCradleAngry4|Она напала на меня; у меня не было ((выбора)). И если бы не ((ты))...||||
p102|Что случилось с твоей рукой? Твоим ((лицом))?||||
VelaCradleAngry5|<<Она сгибает руку, ее черная плоть пульсирует от энергии древних.>> ##Просто побочный эффект ((беспрецедентной)) работы, которую мы здесь проделали. ||||
p103|Вела, давай ((поговорим)) об этом...||||
VelaCradleAngry6|Больше никаких ((разговоров)), Исповедник. Не после всего, что ты сделал. ||||
p104|Во имя Инквизиции, я сражу тебя. ||||
VelaCradleAngry7|Если бой — это то, чего ты хочешь, я ((с радостью)) дам его. ||||
VelaCradleAngry8|((Ты)) настроил моих товарищей против меня, вынудив меня действовать. Их кровь на ((твоей)) совести так же, как и на моей. ||||
p105|Они покинули твое дело давно, Вела. ||||
VelaCradleAngry9|<<Она усмехается.>> Они просто боялись настоящих перемен. Никто из них не пытался ((убить)) меня, пока ты не появился.||||
p106|Разве ты не можешь просто ((вернуть их)) с помощью этого Ангела? ||||
VelaCradleAngry10|<<Вела хмурится, отворачиваясь.>> Это... было бы на их ((усмотрение)), а не на ((мое)). И Орлайт... ясно дала понять, что не желает моего видения Рая. ||||
p107|Если бы ты только позволила мне ((помочь)) тебе... ||||
VelaCradleAngry11|<<Вела рычит.>> О да! Если бы я только осталась в ((Флоте)) как хорошая девочка. Если бы я только делала то, что мне ((говорили)). Если, если, ((если!))||||
VelaCradleAngry12|<<Она указывает на тебя мечом, кровь Орлайт все еще капает с него.>> ##Приготовься, Исповедник. Я не позволю ((тебе)) или Инквизиции встать на пути того, что должно произойти — ради ((человечества)). ||||
VelaCradleAngry13|К бою!||||
p108|Пусть будет так.||||
p109|Разве ты не имеешь в виду ради ((Изабет)), твоей сестры? Вот о чем это ((на самом деле)).||||
VelaCradleAngry14|<<Вела смотрит на тебя с новой яростью.>> Как ((смеешь)) ты упоминать ее имя! Ты ((ничего)) не знаешь о ее душе — о моей ((семье)).||||
VelaCradleAngry15|Изабет была... она значила для меня больше, чем... ##<<Вела закрывает глаза на долгий момент.>>||||
VelaCradleAngry16|Изабет и моя мать ((сгорели заживо)) в особняке моего отца. То, что Изабет забрали так рано, а я осталась жить, ясно говорит о несправедливости этого мира. Я не ((извинюсь)) за желание это изменить.||||
p110|А как насчет тех, кто пострадал ради твоего видения? Людей вроде Каэр, которых ты оставила ((умирать))? ||||
VelaCradleAngry17|<<Вела запинается, спотыкаясь на словах.>> Каэр... ((предала)) меня. Я... я отдала бы свою ((жизнь)) за эту девочку, но она... Она... ||||
VelaCradleAngry18|@@ И вот ты здесь, окруженный трупами твоей ((новой)) семьи. Оно того стоило? Была ли смерть Орлайт ((справедливой?)) ||||
VelaCradleAngry19|%% <<Вела запинается.>> Я... они... Они предали ((меня!)) Если бы они только ((послушали)), вместо того, чтобы... вместо того, чтобы... ##Я не ((хотела)) убивать ее. Я... только хотела...||||
VelaCradleAngry20|&& <<Глаза Велы расширяются от шока — затем сужаются в щели чистой ярости.>> ##Я дала ей шанс сдаться. Я бы ((простила)) ее. Привилегия, которую я ((не)) предоставлю ((тебе)).||||
p111|Забудь. Мы закончим это оружием. ||||
VelaCradleAngry21|<<Меч Велы выпадает из ее рук и с грохотом падает на пол. Слезы текут по ее лицу, хотя она не издает ни звука.>> ||||
VelaCradleAngry22|Это... то, что я всегда говорю, не так ли? 'Я не хотела'. 'Они заставили меня'. 'У меня не было выбора'. ##<<Она поднимает взгляд к потолку, моргая слезами.>> ((Черт)) побери тебя, Исповедник... ||||
VelaCradleAngry23|Ты... имеешь хоть ((представление)), как долго длится ((никогда))? Никогда больше не увидеть мою сестру. Никогда больше не услышать ее глупый смешок. ##Черт возьми, все, чего я ((когда-либо)) хотела — <<Она зажмуривается.>>||||
VelaCradleAngry24|Когда я нашла ту карту, это было как будто ((Джинн)) ответил на мое желание. Ты понимаешь? Как послание от вселенной, говорящее: может быть, она умерла, чтобы я могла спасти ((всех)).||||
VelaCradleAngry25|И на каждом шагу с тех пор я делала тот же выбор. Каждый принцип искажен. Каждый мертвый друг. Ангел мог бы все исправить. ##Так что мой долг рос, и рос, пока...||||
VelaCradleAngry26|<<Вела молчит долгое время. Когда она поворачивается к тебе, это с отчаянной улыбкой, ее голос трещит от отчаянного признания.>> ##Я так глубоко в крови, что даже не вижу поверхности.||||
VelaCradleAngry27|<<Вела безнадежно указывает на Ангела.>> Так что ты побеждаешь, Исповедник, Ангел ответит первому смертному, кто заговорит с ним. Если ты считаешь меня дурочкой, тогда ((уничтожь)) его. ||||
VelaCradleAngry28|Просто... что бы ты ни делал, сделай это ((быстро)). Прежде чем я снова передумаю. ||||
p112|Спасибо, Вела. ||||
p113|((Просто кивни и уйди.))||||
VelaCradleAngry29|<<Вела хрипит и кашляет, кровь стекает по ее губам.>> ##Кажется... я уже не та фехтовальщица... какой была.||||
VelaCradleAngry30|<<Она слабо улыбается, показывая зубы, покрытые красным.>> Думаю, теперь это зависит от ((тебя)), Исповедник. Ангел... ждет.||||
VelaCradleAngry31|Просто подумай... о том, что я сказала. Ты мог бы ((использовать)) его... чтобы... ((спасти)) этот разрушенный мир... ||||
VelaCradleAngry32|<<Вела снова начинает кашлять, изо всех сил стараясь держаться прямо.>>||||
VelaCradleAngry33|Что это — ((ты)) снова? ||||
VelaCradleAngry34|Этот проклятый ((бог смерти))! Когда я закончу с тобой, я отрублю ему ((голову))!||||
VelaCradleSad1|<<Вела держит Орлайт на руках, ее тело дрожит от беззвучных рыданий, слезы текут по ее щекам.>>||||
VelaCradleSad2|<<Она смотрит на тебя красными глазами, слишком человечными в конце концов.>> ##Так это ((ты)). Забавно... я бы подумала, что меч через сердце был бы более серьезным ((препятствием)). ||||
p120|Мне помог ((друг)) твой.||||
VelaCradleSad3|Я должна была знать, что ты найдешь ((этого)). Большое преимущество... ##<<Она слабо улыбается.>> Союз не знает, что теряет. ||||
p121|Я полон сюрпризов.||||
VelaCradleSad4|Неужто, Исповедник. ||||
VelaCradleSad5|Я... не хотела убивать ее, знаешь. Она напала на меня со всей силой. Я... только хотела обезоружить... ||||
VelaCradleSad6|<<Вела закрывает глаза, подавленная глубокой усталостью.>> ##Это то, что я всегда говорю, не так ли? 'Я не хотела'. 'Они заставили меня'. 'У меня не было выбора'.||||
VelaCradleSad7|Ты был прав, думаю. Насчет меня и Изабет. Я гналась за этой мечтой не ради кого-то, а ради ((себя)). Ради той немой, оглушенной девочки, стоящей в пепле своего дома.||||
VelaCradleSad8|Ты хоть ((представляешь)), как долго длится ((никогда))? Никогда больше не увидеть ее. Никогда больше не услышать ее глупый смешок. ((Никогда.)). ##Честно, я не знаю, ((кто-нибудь)) когда-либо смиряется с этим.||||
VelaCradleSad9|Так что я плавала вокруг, притворяясь спасительницей. Выпуская свой гнев на тех, кто играл роль злодея. ##Когда я нашла ту карту... боже, это было как будто ((Джинн)) исполнил мое желание. Как послание от вселенной, говорящее: может быть, она умерла, чтобы ты могла сделать ((это)).||||
VelaCradleSad10|Потому что, правда, кто мог оспорить эту логику? Какая цена может перевесить спасение всех, навсегда? ##<<Она качает головой.>> Даже Джек знал, что лучше не играть в кредит.||||
VelaCradleSad11|Чем больше принципов я искажала, чем больше крови проливала, чем больше ((друзей)) я вела к их смерти... тем больше рос мой долг. И тем больше Ангел казался ((единственным)) решением.||||
VelaCradleSad12|<<Вела снова встречается с твоим взглядом, глаза наполняются слезами, голос трещит от отчаянного признания.>> ##Так что ((я)) не могу быть той, кто сделает этот выбор. Больше нет. Я так глубоко в крови, что даже не вижу поверхности.||||
VelaCradleSad13|<<Она снова опускает голову на тело Орлайт.>> Пожалуйста. Иди к Ангелу. Он ответит тебе. Если ты захочешь ((уничтожить)) его, я не остановлю тебя. ||||
p122|Спасибо, Вела. ||||
p123|Теперь ты пленник Инквизиции.||||
VelaCradleSad14|<<Вела молчит, качая своего лучшего друга взад и вперед, как младенца, время от времени сотрясаясь от приступов горя.>>||||
