Dialogues:|Clockwork||||
mechVassal10|%%РАЗМЫШЛЯЮ О КАНОНЕ(Диспутация)... ОЦЕНИВАЮ ДЕЙСТВИТЕЛЬНОСТЬ... ##[[СУД]]: ТВОЙ АРГУМЕНТ ДОСТОИН.||||
mechVassal11|ПОЭТОМУ, [[УКАЗ]]: ПРОТОКОЛ ТРУДА АВТО-СЕРВОВ ПЕРЕСМОТРЕН. ТЕКУЩИЙ ПРОТОКОЛ ТРУДА: [[БЛАГОЖЕЛАТЕЛЬНОЕ ЗЕМЛЕДЕЛИЕ]]. ||||
mechVassal12|ДА ЗДРАВСТВУЕТ ЕГО ВЕЛИЧЕСТВО МЕХИНУС РЕКС, КОРОЛЬ МЕХАНИЗМОВ! ||||
p626|Ладно, я пойду. ||||
mechVassal13|<<Машина кажется неработоспособной.>>||||
mechVassal14|[[ПРОКЛАМАЦИЯ]]: ЭТОТ ПОЧТЕННЫЙ ВАССАЛ УПРАВЛЯЕТ ПРОТОКОЛАМИ СВОИХ ПОДЧИНЕННЫХ АВТО-СЕРВОВ. ##ПРОВОДЯ ПЕРЕПИСЬ... ||||
mechVassal15|КОЛИЧЕСТВО НЕАКТИВНЫХ АВТО-СЕРВОВ: [[253]]. ##КОЛИЧЕСТВО АКТИВНЫХ АВТО-СЕРВОВ: [[1]]. ##ТЕКУЩИЙ ПРОТОКОЛ ТРУДА: [[БЛАГОЖЕЛАТЕЛЬНОЕ ЗЕМЛЕДЕЛИЕ]]. ||||
mechVassal16|КОЛИЧЕСТВО НЕАКТИВНЫХ АВТО-СЕРВОВ: [[254]]. ##КОЛИЧЕСТВО АКТИВНЫХ АВТО-СЕРВОВ: [[0]]. ##ТЕКУЩИЙ ПРОТОКОЛ ТРУДА: (((УВЫ, НЕ МОГУ СОЧИНИТЬ СТИХ))).||||
mechVassal17|<<Машина ждет, пока ты что-то скажешь.>>||||
mechPasssive1|<<Машина продолжает свои сельскохозяйственные обязанности, безразличная к твоему присутствию.>> ||||
